"","ID","Cluster","Abstract","Title","Downloads","Publication Year","ClusterTheme"
"692",692,"8","The work reported in this paper is based on a study that adopts a naturalistic qualitative  approach to the study of design expertise. The study explores the ‘designer’s talk’ as a site  for the articulation and dissemination of design expertise. Theoretical resources adopted in  the study were drawn from a model of expertise developed by Hubert Dreyfus and from a  wide body of phenomenological literature that informed this model.  The Dreyfus model is based on a practice oriented account of agency and perception that  offers a viable alternative to the cognitivist models of design expertise. The research  discussed in this paper forms part of a larger study that seeks to identify a basic unit of  analysis appropriate to working with the Dreyfus model.  Two related analytic constructs – ‘responsiveness’ and ‘affordance’ – have emerged as  central to defining this unit of analysis. ‘Affordance’ is a term coined by James J. Gibson to  draw attention to the first person experience of the way in which action possibilities are  opened up for the agent by configurations in the environment.  This paper explores the relationship between Gibson’s original concept of affordance, and  the way in which it might be developed in the light of the practice oriented accounts of  agency and action that underpin the Dreyfus model of expertise. Issues of intersubjectivity  and the practicalities of coding for individual instances of ‘responsiveness’ and  ‘affordance’ are discussed with reference to data drawn from the transcripts of formal  presentations delivered by graphic designers David Carson and Stefan Sagmeister.","Design Expertise Practices and Affordance",98,2012,"critical/world"
"693",693,"2","This paper discusses the teaching of Design for All in a university based design school. It  explains the approach taken to encourage engagement and learning with a subject that is  as much a philosophy and an ethos as it is a field within design with specific knowledge  sets, design processes and methods.  Taking a hybrid approach, the Design for All course combines a traditional  lecture/seminar format, with problem based learning centred in student project work. The  rationale is to help the students to search to understand various dimensions of the problem  space along with the current state of certain key issues, and to research ways to integrate  all this information and move forward. In this way, they are indirectly guided to look at the  bigger picture, to understand how people work around problems in order to try to combine  small and incremental changes to product design alongside creatively moving forward and  bypassing fundamentally inaccessible products and making systems accessible. That is,  they move beyond re-design to innovative design.  The authors hope that the approach taken here, of stimulating students to search and  research may be useful to other educators who are engaged in teaching areas of design  (sustainable design, transformational design) whose paradigms permeate the whole of the  design endeavour, and require students to think beyond the apparent constraints to  emergent properties.  Our paper draws upon the experience of teaching Design for All to try to position the role  of search (roughly, seeking to understand connections between the input and output in the  problem space) and research (ways to integrate the information) and the place of design  and of redesign. It is ‘in-progress research’ reflecting on how these activities aid critical  thinking and analysis in underpinning the creativity and innovation of products and systems","Design for All: Stimulating students to  search and research",63,2012,"students/learning"
"694",694,"6","This paper explores the implications for design theory and practice of recent public policy  initiatives that aim to promote longer lasting products. Public concern relating to product  lifetimes and, specifically, a perception that manufacturers of certain consumer durables  are responsible for planned obsolescence, is long established. Academic engagement in this  area has latterly increased and governments have taken interest in product longevity as a  means of increasing resource efficiency and reducing waste. One of the driving forces is  the revised EU Waste Framework Directive, which requires Member States to develop  waste prevention programmes and highlights product life extension as a means of reducing  waste. A subsequent Government review of waste policy in the United Kingdom indicated  an intention to promote ‘resource efficient product design’, of which one element would be  ‘design for longer life, upgrading, reuse or repair’.  A range of possible implications for designers of this emerging public policy are  considered in this paper, which questions the feasibility of increased product longevity in  the light of the demands of market-oriented and growth-driven economies in Western  Europe and addresses the potential role of designers in achieving such change. Drawing  upon data from a series of semi-structured interviews with design practitioners, it considers  how able and how motivated designers are to respond to the challenge of increasing  product lifetimes and how they might utilise any power they have to affect change.  The paper relates these findings to the UK Government’s pledge to work with businesses to  ‘design and manufacture goods that are more efficient, durable, repairable and  recyclable’. Unless businesses see the prospect of commercial gain, they will not specify  such products. The paper concludes that a mix of regulatory and market-based instruments  will need to be adopted by government if increased product longevity is to be regarded by  business as a credible strategy.","Design for Longevity: Obstacles and  opportunities posed by new public policy  developments",70,2012,"product/products"
"695",695,"1","In the continuous quest for better surgical treatment, reduction of physical trauma, faster  postoperative recovery and better cosmetic results, technological progress and the  evolution of several diagnostic and therapeutic techniques have led to the rapid  development of mini-invasive techniques that use the human body's natural orifices and  thus completely eliminate all types of incision. One of these techniques is NOTES (Natural  Orifice Transluminal Endoscopic Surgery), a surgical technique that accesses the  peritoneal cavity and thorax through natural orifices without generating any scars.  The purpose of this research is to develop innovative technological tools for mini-invasive  surgery through an interdisciplinary and user-involved approach. The goal is to improve  interaction with the surgical tool, physically as well as cognitively. This allows the  development of solutions that meet the needs of the surgeon and the medical team, and  ultimately is for the benefit of patients and the evolution of medical science. This paper will  introduce the reader to the challenges in undertaking a user-centered design approach for  design of medical equipment. Based on the considerations above, this project was decided  to undertake an innovative research exploring the surgery world in terms of design to find  effective and innovative design solutions through multidisciplinary collaboration between  the Laboratory PUL (Product Usability Lab), Biodesign Lab of the INDACO Department,  Politecnico di Milano and the AIMS Academy (Advanced International Mini-invasive  Surgery) of Niguarda Hospital.  The research objective is to provide new scenarios and guidelines for the design of flexible  surgical platforms. The overall approach was a user-centred and user-involved design  process with use of structured methodologies stemming from the design discipline.","Design for NOTES: A new vision of a  flexible endoscopic platform",74,2012,"design/process"
"696",696,"7","With the emergence of cloud computing, a diverse range of content can be read across  platforms. Here, we extend our previous research (Kang and Eune 2011), where we  proposed three aspects to reinforce seamless reading across different platforms: coherence,  immersion, and multimodality. The reading process is classified as pre-reading, during the  reading, and post-reading, where each step requires different goals, functions, and types of  reading. An appropriate platform among smart phones, Tablet PCs, and PCs is chosen to  play a main role at each step. In this research, we verify the design framework of our  previous study by analyzing a digital Bible, ‘Youversion’, across platforms. In a  comparison of the digital Bible and a digital newspaper, which was the case from the  previous research, we find common characteristics of multimodal reading in each platform.  This research contributes to finding a brand new content market for the cloud eco-system  while offering a way to enjoy the content with an enhanced sense of immersion when  analog and digital content types are brought together in a cross-platform environment.","Design Framework for Multimodal Reading  Experience in Cross-Platform Computing  Devices – Focus on a digital bible",107,2012,"communication/physical"
"697",697,"2","This paper is based on on-going research into design education at several educational  levels. What is said, and what is done? In the DESIGN LITERACY project, we focus on the  content of a continuous design education, the transition between different educational  levels – from primary education, throughout the university level – in the Norwegian  educational system. Designers, decision makers, investors, and consumers hold different  positions in the design process, but they all make choices that will influence our future.  Design education at primary and secondary level represents both a foundation for  professional design education and a prequalification for the general public’s competence  for decision-making. We ask if there is a coherent connection between the different levels  from primary school to university, and between the intentions and the practice. What is the  reasoning behind the choices of design education of professionals? We have chosen to use  the concept design literacy to address the complex matter of objectives and content in  design education. The project is in its initial stages with an end focus on: What challenges  need to be addressed in design education at different levels in order to boost the  advancement of design literacy?","Design Literacy – From primary education  to university level",135,2012,"students/learning"
"698",698,"1","This paper explores the relationship between design process and organisational strategy  through a storytelling perspective by providing a literature review; firstly, in relation to  society in general; establishing a contextual background to the research. Secondly, by  relating this to a) how designers and design researchers examine storytelling within design  process, and b) how organisational strategists theorise storytelling. Then finally, through  comparing and contrasting the literature, unearth the relevancies of using a storytelling  perspective and uncover opportunities for understanding how design process impacts  organisational strategy. It is apparent that certain underlying principles in adopting a  storytelling perspective when employing organisational strategy and design process  coexist. Foremost are the human centred focuses; in particular building relationships and  constructing identities. Concerning the approaches to storytelling, a shared desire to elicit  emotional resonance with audiences exists in the use of characterisation. During  collaboration between designers and organisations, stories resulting from the design  process will incontrovertibly have the potential to impact that company’s peoples.  Examining collaborations between designers and organisations from the perspective of  storytelling could lead to a deeper understanding of the impact design can have in an  organisation, particularly along the themes of a sense of community, constructing meaning  and affecting change within organisations.","Design Process and Organisational  Strategy: A storytelling perspective",95,2012,"design/process"
"699",699,"1","This study aims to develop a method of retrieving indigenous knowledge, cultural identity,  and artistic quality in local craft through design activities. Taking bamboo basketry  product as the case study, this research selected Bangchaocha, a sub-district in Ang Thong  province, as a representative of Thailand’s rich culture and established crafts village. The  community has recently encountered a problem seen in many craft communities throughout  Asia – one that sees the loss of their traditional craft identity due to foreign traders placing  large orders for generic products that showcase neither indigenous craft knowledge nor  traditional craftsmanship. This study aims to show how the design activities can help  empower the Bangchaocha craft community to appreciate, utilize, and market their  invaluable craftmaking skills.  Our research method grouped design students and professional designers into three teams -  each with their own unique strategy. Each team was then assigned to collaborate with  local craftspeople and craft “children” in testing three different design scenarios: (1)  Master and Apprentice in old time craft scenario (2) User and Designer in co-creation  scenario (3) Maker and Designer in current global crafts scenario. The methodology  employed by each team was based on an anthropological approach. The activities  involving locals were mostly conducted in a participatory and holistic manner.  The three teams started with the same preparatory method of learning basic Bangchaocha  craft weaving skills from the locals. Naturally the different approaches adopted by each  group produced uniquely different and valuable results. Thus, the research concluded that  the 3 types of designer/craftspeople social relationships and design activities would greatly  benefit Thailand’s crafts communities as efficient mechanisms for the retrieval of local  know-how.","Design Process in Retrieving the Local  Wisdom and Communal Identity: A case  study of Bangchaocha’s bamboo basketry  crafts",839,2012,"design/process"
"700",700,"3","In our paper we focus on how design prototypes can foster communications in  organizations that deal with the development of innovations. We distinguish the impact of  prototypes between two different organizational levels; we first conduct the impact of  prototypes at the level of organizational design teams that develop ideas and concepts for  solutions. We then focus on the impact of prototypes on the level of organizational teams  and departments that have not been part of the initial design phase but are responsible for  further developments in the innovation process, e.g. production, financing, and marketing.  Previous research has indicated that prototypes have a significant influence on both  organizational levels. Prototypes, in the best cases, can become so-called boundary objects  between different domains and stakeholders and may deliver positive effects within the  innovation process. However, the successful management of stakeholders in this context  remains highly challenging. In this paper we want to address these difficulties as well as  the current state of research in this field. We propose that a prototype does not only stand  for an important design technique but should moreover be regarded as a management tool  that can be integrated into a structured dialogue between stakeholders. We provide first  insights on what a structured dialogue, based on prototypes, can mean and what it thereby  should imply. We will synthesize prior research findings and begin to develop a concept on  how to utilize prototypes as boundary objects from a management perspective.","Design Prototypes as Boundary Objects in  Innovation Processes",972,2012,"service/services"
"701",701,"3","This paper attempts at understanding the core issues plaguing neonatal healthcare  amongst the urban sector in India, the approach taken to understand these issues and the  implications of the approach. It points out the opportunity for design interventions at  various junctures. An attempt has been made to go deeper into the practical problems  being faced by the various stakeholders - Mother and family (father, mother-in-law, and  maternal members), Doctor and support staff (nurses, attendants), Public health  officer/NGO and support staff (aanganvadi and community level health workers), and Baby  products shopkeepers.  The research takes into account the demographic breakup, socio-economic and cultural  environments and emotional needs of the stakeholders. Extensive field visits, qualitative  interviews in naturalistic environments, contextual inquiries and innovative analytics post  that have led to strong insights that point to interesting design directions. Video, photo and  audio documentation was done to rebuild the scenarios during the analysis phase. The  entire research was converged and distilled into 2 point of views that suggest a definitive  direction in solving the problems in neonatal healthcare with design intervention through  product, service and technology intervention.","Design Research in Neonatal Healthcare in  Urban India",93,2012,"service/services"
"702",702,"8","Public discourse has long been enlivened by graphic designers who harness their creative  skills and ideas to political, social and cultural issues. Iconic examples populate the canon  of American graphic design history over the past century: designs for the Works Progress  Administration in the 1930s and ’40s, Lorriane Schneider’s 1967 poster “War Is Not  Healthy for Children and Other Living Things,” Gran Fury’s AIDS awareness campaigns  during the 1980s, and carrying the concept into the new millennium, Shepard Fairey’s recent  “Obama Hope” posters.  However, historical emphasis has often been on the individual design artifact, with secondary  consideration of the contextual milieu for its creation and implementation. A third consideration  must be acknowledged to arrive at a more comprehensive idea of how and why  graphic designers create works outside of the typical client-designer relationship. Design  authorship suggests such a model.  Theories of design authorship, first developed in the mid-1990s, help to define a new paradigm  for designers’ enlarged sense of agency. Partly enabled by technological advances  (desktop computers, printers, Postscript® software), partly by the convergence of discursive  methodologies (image-making, designing, writing, publishing), and partly by the influence  of avant-garde philosophies (post-modernism, post-structuralism, deconstructionism),  a more holistic breed of designer emerged.  The ‘Designer as Author Activist’ doesn’t just design the occasional protest banner – she  infuses her practice with ethical and moral concerns. As this paper will show, the history  behind this symbiosis of form, content and intent is not merely one of styles and trends, but  of a fundamental shift in design’s core.","Designer as Author Activist: A model for  engagement",588,2012,"critical/world"
"703",703,"1","In this paper, a model of designer-user interaction as a socio-cultural phenomenon is  proposed with the following question: how do the changes in the designer's perspective on  the user's physical and social experiences lead to design refinement or design innovation  sequences? Adopting Bourdieu’s theory of practice as a macro view, we interpret field as  rules of action, habitus as modes of action, and practice as situated actions as they exist in  the design process. Particularly, this research argues that the changes in the designer’s  habitus, as a result of newly acquired knowledge from user research, entail innovation of  practice and expansion of field. In addition, the concept of boundary object is considered  as a micro view to discover how the designer’s research activities assist them in acquiring  knowledge from various sources, and to translate / transform it across domain boundaries  during the process. Two stories of user research projects on retail shopping experience  design are presented as empirical evidence.","Designer-User Interactions for Innovative  Problem Solving: A socio-cultural  perspective",165,2012,"design/process"
"704",704,"2","This paper presents the results of a qualitative study about how design students cope with  culture in the i-do (international design opportunity) series of international design  workshops in Hong Kong. We wanted to learn three things. (1) To what extent do the  design students from different nations share common cultural values? (2) what difficulties  do design students encounter in this type of workshops, and what techniques and strategies  do they use to cope with (cultural) barriers? and (3) what opportunities (personal benefits)  do they identify to attend this type of workshop? The results and conclusions are based on  experiences of i-do students (69 in total) derived from questionnaires, semi-structured  interviews and literature.  The study shows that students easily recognize barriers that can be explained by differences  in cultural values, and that they come up with a variety of solutions. They need extra time  to understand each other’s frame of reference and rethink the design approach, rules and  norms for cooperation, the frame of reference they use to understand their intended users  and the meaning their designs may evoke. They also need extra time for personal learning  to adapt to their team members. We conclude that the discussion among students on the  manifestation of the design is underexposed and that there are many opportunities for  educators to provide them the tools and techniques that support them to cope with culture.  Students see international design workshops as an investment in their careers.","Designers Coping with Culture in an  Educational Setting",116,2012,"students/learning"
"705",705,"8","The design research described in this paper used generative tools in co-creation sessions  with users in a Danish bank. The aim was to investigate users relationship to money and to  banks. In a follow-up interview participants stated that they had changed their perception  and behaviour in relation to money – and in accordance with their values. Thus, contrary  to expectations, the research did not lead to co-creation of values, but rather to a  hypothesis that generative tools can act not only as a “language for co-creation aimed at  the collective creativity” (Sanders & Stappers, 2008) but even as a “language for selfdialogue  and value clarification aimed at the creativity of the individual” (Sørensen, 2011).  In the ensuing research (2011) I proved this hypothesis, i.e. that designing can be used as a  language for self-dialogue and value clarification by developing a radical new bankingservice,  “The MoneyWorkshop”. Here customers are offered generative tools and special  assignments in order to clarify their values and possibly change their relationship to their  personal finances. The majority of the participants in the workshop subsequently changed  their perception and behaviour.  The paper explains “The MoneyWorkshop” referring to concepts within design as  ‘graphics as cognitive tools’ and notions as ‘framing’, ‘reframing’, ‘design as doing’  represented in theories by Sanders, 2000, 2006, 2008, Schön 1983, 1993, Bamberger, 1983,  Waks 2001, Paton & Dorst, 2010. I also refer to cognition-theory (Lakoff & Johnson, 1980,  Ware, 2008, Kazmierczak, 2002) and in particular to Manz & Neck´s theory about  “Thought Self-Leadership” (1992, 1999). My theoretical proof of the workings of  MoneyWorkshop was that participants developed new cognitive strategies in accordance  with Manz & Neck’s theory, which relates to a relatively new finding within cognitive  science – that human beings can change dysfunctional beliefs and assumptions and thus  change thinking patterns and behaviour (Seligman, 1991).","Designing as a Language for Self-Dialogue  and Value Clarification",80,2012,"critical/world"
"706",706,"8","This paper presents completed research in phase one of a project into the interdisciplinary  co-design and collaborative uses of social media in urban settings. Research now includes  place-specific computing, locative media applications (‘apps’), and open source tools  (OpenStreetMaps, Ushahidi). While studies exists on locative technologies with  implications for urban planning and collaboration, there is little research on the designs of  locative apps for ‘cultural mapping’ in city settings. Following the themes of Re:Search, we  investigate ways the design of a mobile app may mimic, change and transform earlier  paper-based approaches to experimental urban mapping, namely the Urban Gallery  Methodology. In terms of design, through co-creation and its critical reflection, we address  the challenges and realisations of transposing this method to mobile social and locative  media. We discuss the potential of social media to enhance urban studies and the domain of  cultural mapping. We argue for greater attention to co-design and the relation between the  development of such apps and their situated use as part of an ongoing user-related wider  design and mapping process. We conclude that apps need research about both their design  and contexts of use.","Designing Experimental Urban Mapping  with Locative Social Media",141,2012,"critical/world"
"707",707,"2","This paper discusses a pilot study into whether the introduction of the concept of the  ‘Other’ (after Said 1991) is useful in broadening the conceptual understanding and  empathy of first year industrial design students and thus move them away from a position of  an ‘I methodology’ of design.  The concept was introduced via a lecture delivered to Coventry University students and  impact was measured by the Interpersonal Reactivity Index (Davis 1980).  A research group (who received the lecture) and a control group (who did not) completed  the Interpersonal Reactivity Index (IRI) over a three-week period. Students were also  tasked with choosing a ‘persona’ most like themselves from specially developed ‘persona’  cards.  Analysis showed that although the students scored more highly on three IRI subscales in  terms of averages, a mean score analysis produced inconclusive results. However, there  were indications that the concept of the ‘Other’ did have an impact on the research group  in terms of persona card choices, in that this group was more likely to step outside gender  boundaries.  Therefore the findings from this pilot study proved inconclusive in determining whether the  concept of the ‘Other’ had a positive impact on design students’ conceptual understanding  and empathy towards the end user, and thus it is not possible to assess whether it can  enhance their ability to move away from a position of ‘I methodology’ design.  Nonetheless, the pilot study did highlight the need for a more rigorous research framework,  in that more emphasis is needed to both develop the concept of empathy as it pertains to  design students and, perhaps, the concomitant development of a ‘bespoke’ measurement  tool, coupled with a more targeted approach to student participation.","Designing for the Other",89,2012,"students/learning"
"708",708,"4","This paper proposes and tests a design method for Eating Design, a sub-discipline of Food  Design. The proposed design method focuses on the fact-finding phase of the design  process and aims at generating data that can then be used by designers to create design  ideas and final design solutions for eating events. The method aims at producing new  meanings on aspects of the eating events, in order to be subsequently used to generate  design solutions that present a radical change in meaning. The proposed method employs  the use of a visual tool called Visual Explorer used mainly as a leadership tool, and  therefore new in design research. In order to make the proposed method specific for  generating data for the design of eating events, the Five Aspect Meal Model has been  adopted as its structure. The method has been tested using two different samples: a users  sample and an interpreters (experts) sample in order to compare the results. The method  has produced dialogues which have been transcribed and analysed using thematic analysis.  This allowed generating two different sets of themes representing the characteristics of  people’s ideal eating events. The two sets of themes have subsequently been tested in a  workshop where designers used the given themes as the bases to create design ideas and  design scenarios for an eating event. Results show that the themes were easy to use and  understand and were indeed adequate for the generation of ideas and design scenarios for  eating events. Some of the final design scenarios also seem promising in potentially being  developed into design solutions presenting a radical change in meaning.","Designing New Meanings: A Design Method  for Eating Design",152,2012,"factors/results"
"709",709,"3","Within the design industry there has been much promotion of how designers can engage  with future oriented projects yet, there has been little investigation within academic design  research of the methods employed. In some ways much of the discourse coming out of  design practice is commercial propaganda - with the sole aim of generating new business.  The design industry is good at communicating what future focussed services it is able to  offer yet the methods employed are shrouded in a similar level of mystery (and scepticism)  as those employed by a magician or shaman. Commercial sensitivities mean that the design  industry is good as say what they can do in terms of creating future oriented ‘next-next  generation’ products and services yet they do not convey how this is achieved with the  same level of enthusiasm. A design led futures framework is presented to support designers  in the development of next-next generation products (and services) and provides a  mechanism to underpin future oriented design projects. Based upon analysis of empirical  evidence drawn from 40+ expert interviews, the study identifies the growing need for  organisations to engage designers to consider the future within an increasingly complex  and competitive product and service developmental landscape.","Designing Next-next Generation Products  and Services: A design-led futures  framework",156,2012,"service/services"
"710",710,"2","At the heart of learning and teaching in studio based design subjects lies the engagement  by students and tutors in activities which are based on practical work simulating design  professionals’ work. We report here on a research project which explored the student/tutor  relationship in design pedagogies across a range of academic levels and subjects in one  institution. Although a small sample of interviews was obtained, 7 students and 7  academics, the data is a rich account of relationships which support or restrict student  learning. We consider that the relationships, which are mutable, often ambiguous and  uncertain in character, are part of enacted roles structured by the university, the design  practice and individual dispositions. These are further complicated by socio-cultural,  political and spatial factors. In the most positive learning engagements students and tutors  are working towards a two-way exchange on an equal level, which enables students to  achieve their best and to become independent practitioners in their own right.","Designing relations in the studio: Ambiguity  and uncertainty in one to one exchanges",118,2012,"students/learning"
"711",711,"9","Advances in technology are increasingly defining the character of  knowledge (Harrod 2007), and highlighting the opportunities that exist for  artists, designers, craftspeople and researchers to use new technologies for  extending the breadth and scope of contemporary practice. An example of  this is the digital printing of textiles. Not only are the printed images  themselves open to novel forms of manipulation and interpretation, through  the use of innovative fabrics, dyes and techniques, but the technologies  involved in the digital printing process increasingly provide designers with  a wide range of new options. On the one hand, it is possible to take an  aesthetic approach to textile design while on the other technology-based or  process-driven perspectives may also be exploited (Potter 2002). However,  what happens in the studio environment when these disparate domains  overlap?  This paper investigates the relationship that is forged when traditional craft  practices and advanced technology are brought together through studio  inquiry. In order to challenge this phenomenon and the subsequent issue of  subjectivity, my practice-based research uses grounded theory to reveal  how the use of traditional materials and techniques can be integrated within  digitally printed textile design to develop a general theory relating to  contemporary design practice. A range of experiments were undertaken to  encourage convergence with neighbouring disciplines, and a series of  questionnaires, then semi-structured interviews conducted with skilled  practitioners from adjoining fields to confront current perceptions of design  practice, and challenge non-objective research positions in the creative  industries (Frayling 2011).","Digitally Printed Textiles:  New processes & theories",160,2012,"technologies/technology"
"712",712,"2","The present study investigates the relation between sketching and communication in teams  during the idea generation process in early concept generation. A quasi-experiment study  has been conducted with Masters students of Industrial Design Engineering at Delft  University of Technology, Netherlands. Six groups consisting of three students had to solve  a design problem in a given time. Whereas the experimental groups (n=3) were not allowed  to talk during the design process, the control groups (n=3) did not face any restrictions.  The experiments were recorded, observed and analyzed. As expected, both groups used  communication to transfer and support their individual ideas. For the experimental groups,  the written language became the medium of communication in detailing the information of  sketches. These findings show that sketching cannot stand alone; design teams need to use  sketching and verbal communication in conjunction not only to produce well-developed  ideas, but also to transfer them.","Does SKETCHING Stand Alone as a  Communication Tool during CONCEPT  GENERATION in DESIGN Teams?",106,2012,"students/learning"
"713",713,"8","This paper discusses the methods practitioner-researchers use to analyse written texts.  Much attention towards the written word in design discourse is directed at typography –  how words are used visually to communicate meaning. This paper considers the written  word from a different perspective. Here, we aim to reveal how designers analyse written  texts for research and ideation. We describe a range of methods we have developed  through our own research and practice, as well as analytical approaches other  practitioner-researchers use.  There are many approaches to the analysis of texts – for example, semiotic (Kress and van  Leeuwen 2001, 2006), content (Krippendorff 2004), discourse (Gee 1999) and more  recently visual methods (Rose 2007). However, we are specifically interested in the  methods designers use to draw out ideas, understanding and inspiration from written texts  – a focus that is not directly addressed by any of these existing approaches. Importantly,  many of the methods we describe here are widely used in design practice, but are not  acknowledged or reported to be useful in a research context. Therefore, it is valuable to  reframe these practice-based methods within a research context and claim their scholarly  contribution.  In this paper, we describe three approaches to analysing written texts, which we have  named Visual Abstraction, Focused Data-mining and Exploratory Data-mining. Each  approach is supported with examples and anecdotes by practitioner-researchers; ourselves  and others. Examining our own work allows us to trace initial text analysis through to final  design/research outcomes, illustrated with examples from the entire process. To conclude,  we discuss why these methods are a meaningful contribution to design scholarship.","Drawing Out: How designers analyse  written texts in visual ways",279,2012,"critical/world"
"714",714,"8","In this paper we offer a new explanatory tool, called ‘dynamic research sketching’ useful  for mapping and understanding how research through design can be a vehicle for theory  construction. ‘Research through design’ is often used as an all-inclusive umbrella term for  research practices that recognize the process of designing and making an artifact as a  legitimate method of inquiry. However, even though this type of research is thus grounded  in design practice there are many different ways in which the process of designing and  making an artifact can be used as a method of inquiry in order to explore a research  question. Occasionally, the lack of a systematic methodology for research through design  being able to make clarifications and distinctions between various methods has been  pointed out. Yet, only few attempts have been made to compensate for this lack. In this  paper, the aim is to make a first step toward such a methodology. Initially, we set the scene  by providing a critical examination of existing literature on the subject. Then, we  demonstrate the explanatory strength of dynamic research sketching by applying it to three  case examples. In so doing, we uncover three different methods for using design practice as  a vehicle for theory construction. Finally, we discuss and conclude on our findings by  holding them up against our critique of existing frameworks.","Dynamic Research Sketching –  A new explanatory tool for understanding  theory construction in design research",458,2012,"critical/world"
"715",715,"6","Electronic and electrical products have become indispensable and ubiquitous in many  facets of our daily lives. The quantity with which electronic and electrical products are  produced, consumed and discarded is growing rapidly. In addition, the lifespans of these  products are getting shorter with many products still functioning when disposed of.  Consequently, the combined result of shortened product lifespans with growing demand  and consumption of electronic and electrical products, in both developed and developing  countries is the escalating growth in end-of-life electrical and electronic products.  Electronic waste (e-waste) is highly toxic and is the fastest growing waste stream. Unlike  many other categories of waste, e-waste has particularly unique qualities. It not only  contains many highly toxic substances it also contains valuable materials and precious  metals.  This study highlights particular aspects of obsolescence and e-waste processing which have  implications for the design of electronic and electrical products in our throwaway society.  It investigates growing concerns about the flows of e-waste from industrialised countries to  the developing world where hazardous recycling takes place by a burgeoning informal  sector. Many of whom are marginalized social groups who resort to e-waste recycling for  income and survival. Furthermore, this paper outlines the opportunities for efficient and  economical resource recovery and how the design of electronic and electrical products can  contribute to improve the integrity and value of recyclates and facilitate safe and efficient  end-of-life resource recovery.","E-waste and Obsolescence: Designing out  toxicity",226,2012,"product/products"
"716",716,"6","For designers, a key consideration to improve the environmental performance of new  products and services is energy and resource efficiency (eco-efficiency). This is particularly  important for household energy using products (EuPs) as they consume significant energy  during the consumption (use) phase of their lifecycle.  EuPs incorporate many types of consumer electrical and electronic products, including  televisions and computers as well as the many other powered kitchen, laundry, bathroom  and personal electronic devices of which ownership, both individually and cumulatively has  increased dramatically in modern households. A consequence of EuP ownership and  changing behavioural patterns is that EuPs cumulative contribution to overall household  energy use is increasing in Australia, at 4.7% per annum. This is despite the sustained  efforts over many years to improve energy efficiency of individual EuPs that is claimed to  have improved at a rate of 2% per annum since 1970. This begs exploration of the drivers  underpinning this divergence between predicted energy conservation through efficiency  and actual energy use. The aim of this study is to investigate why household energy use  from EuPs continues to rise. Such situations are described as ‘rebound effects’ where  ‘designed in’ energy savings are not achieved.  Exploring the proposition of the rebound effect, this study investigates design, ownership  and use parameters of televisions (and peripheral equipment), washing machines,  dishwashers and refrigerators benchmarked over a period of time. Drawing upon a variety  of technical and behavioural criteria, data is mapped and presented for analysis to locate,  identify and remark upon the qualities and significance of a likely rebound effect. Such  information, where identified, highlights the hidden implications and significance of  product use and user behaviour in shaping the success, or otherwise, of design strategies to  conserve energy and consumption.","Eco-efficiency Rebound Effects Associated  With Household Energy Using Products",125,2012,"product/products"
"717",717,"6","Product Design Engineering is a relatively new engineering discipline that combines  Mechanical Engineering studies with Industrial Design. The emergence and credibility of  this field has created graduates who can successfully combine the creative thinking of  design with the analytical thinking of engineering. A Product Design Engineer forms a vital  role in a product development team making it even more necessary to ensure graduates  from this field have sustainability embedded into their skill-set.  Product Design Engineers are at the forefront of product development; this in turn puts  them at the forefront of unsustainable patterns of production and consumption that  currently plague the manufacturing industry. Due to this, it is imperative to ensure all  Product Design Engineering outcomes have implemented sustainable practices to develop  quality products with environmental concerns in mind. Sustainable design has become  more prevalent and is no longer perceived to be purely organic design, or associated with  single actions such as recycling. It now also involves concepts of Product Stewardship and  Life Cycle Management, including how these concepts translate into current best practice  within leading global manufacturing companies. Knowledge of sustainable design has  developed through necessity and a better understanding in this area has helped create  successful, competitive products with less impact on the environment. The range of  theoretical or conceptual knowledge and tools available across the environmental design  spectrum are then practiced by the students as applied design methods within studio  projects.  This paper shows how sustainability is now embedded in Product Design Engineering  disciplines and does not only discuss the relevance of the content, but moreover addresses  this issue from of student perspective. Three cohorts of undergraduate Product Design  Engineering students have been surveyed to respond to individual comprehension of this  topic — and how effective this is — on their knowledge base. Two cohorts from Swinburne  University of Technology, Melbourne, Australia, and the other from EAFIT University,  Medellin, Colombia. By doing this, an international perspective of educational experiences  in sustainability for Product Design Engineering can be obtained and is discussed in depth  within this paper.","Embedding Sustainability in Product Design  Engineering Curriculum: A comparison of  needs on an international level",119,2012,"product/products"
